wavelength,transmission,log,
997,0.0005,-5.301029996,-5.308121502
998,0.0004,-5.397940009,-5.393315249
999,0.0003,-5.522878745,-5.453521248
1000,0.0003,-5.522878745,-5.497890998
1001,0.0003,-5.522878745,-5.522878745
1002,0.0003,-5.522878745,-5.522878745
1003,0.0003,-5.522878745,-5.522878745
1004,0.0003,-5.522878745,-5.497890998
1005,0.0003,-5.522878745,-5.453521248
1006,0.0004,-5.397940009,-5.368327502
1007,0.0005,-5.301029996,-5.222927756
1008,0.0008,-5.096910013,-4.985800441
1009,0.0016,-4.795880017,-4.526687021
1010,0.0046,-4.337242168,-4.257416426
1011,0.079,-3.102372909,-4.177828424
1012,0.0111,-3.954677021,-4.238034423
1013,0.002,-4.698970004,-4.450173991
1014,0.0008,-5.096910013,-4.934275159
1015,0.0004,-5.397940009,-5.283133755
1016,0.0003,-5.522878745,-5.543339754
1017,0.0002,-5.698970004,-5.723957752
1018,0.0001,-6,-5.84436975
1019,0.0001,-6,-5.939794001
1020,0.0001,-6,-6
1021,0.0001,-6,-6
1022,0.0001,-6,-6
1023,0.0001,-6,-6
1024,0.0001,-6,-6
1025,0.0001,-6,-6
1026,0.0001,-6,-6
1027,0.0001,-6,-6
1028,0.0001,-6,-6
1029,0.0001,-6,-6
1030,0.0001,-6,-6
1031,0.0001,-6,-6
1032,0.0001,-6,-5.939794001
1033,0.0001,-6,-5.879588002
1034,0.0002,-5.698970004,-5.759176003
1035,0.0002,-5.698970004,-5.578558006
1036,0.0004,-5.397940009,-5.31007347
1037,0.0008,-5.096910013,-4.892446252
1038,0.0022,-4.657577319,-4.526585498
1039,0.0245,-3.610833916,-4.391246776
1040,0.0135,-3.869666232,-4.402845165
1041,0.0019,-4.721246399,-4.550917703
1042,0.0007,-5.15490196,-4.968544921
1043,0.0004,-5.397940009,-5.334405675
1044,0.0002,-5.698970004,-5.590156395
1045,0.0002,-5.698970004,-5.759176003
1046,0.0001,-6,-5.879588002
1047,0.0001,-6,-5.939794001
1048,0.0001,-6,-6
1049,0.0001,-6,-6
1050,0.0001,-6,-6
1051,0.0001,-6,-6
1052,0.0001,-6,-6
1053,0.0001,-6,-6
1054,0.0001,-6,-6
1055,0.0001,-6,-6
1056,0.0001,-6,-6
1057,0.0001,-6,-6
1058,0.0001,-6,-6
1059,0.0001,-6,-6
1060,0.0001,-6,-6
1061,0.0001,-6,-6
1062,0.0001,-6,-6
1063,0.0001,-6,-6
1064,0.0001,-6,-5.939794001
1065,0.0001,-6,-5.879588002
1066,0.0002,-5.698970004,-5.784163751
1067,0.0002,-5.698970004,-5.6887395
1068,0.0003,-5.522878745,-5.568327502
1069,0.0003,-5.522878745,-5.4887395
1070,0.0004,-5.397940009,-5.379925891
1071,0.0005,-5.301029996,-5.28450164
1072,0.0007,-5.15490196,-5.164089642
1073,0.0009,-5.045757491,-5.043677644
1074,0.0012,-4.920818754,-4.919027785
1075,0.0016,-4.795880017,-4.795567794
1076,0.0021,-4.677780705,-4.666004297
1077,0.0029,-4.537602002,-4.535361795
1078,0.004,-4.397940009,-4.403521219
1079,0.0054,-4.26760624,-4.271510832
1080,0.0073,-4.13667714,-4.144608429
1081,0.0096,-4.017728767,-4.024741002
1082,0.0125,-3.903089987,-3.91014948
1083,0.0159,-3.798602876,-3.800490111
1084,0.0202,-3.694648631,-3.692978759
1085,0.0258,-3.588380294,-3.58566707
1086,0.0331,-3.480172006,-3.475999232
1087,0.043,-3.366531544,-3.365121793
1088,0.0562,-3.250263684,-3.258845815
1089,0.0724,-3.140261434,-3.167266693
1090,0.0877,-3.057000407,-3.103305117
1091,0.095,-3.022276395,-3.076406626
1092,0.0898,-3.046723663,-3.08945673
1093,0.0766,-3.11577123,-3.137570541
1094,0.0623,-3.205511953,-3.209296596
1095,0.0504,-3.297569464,-3.290643331
1096,0.0416,-3.380906669,-3.369778941
1097,0.0352,-3.453457337,-3.440180597
1098,0.0308,-3.511449283,-3.499018711
1099,0.0277,-3.557520231,-3.545716122
1100,0.0256,-3.591760035,-3.580442255
1101,0.0243,-3.614393726,-3.604309226
1102,0.0236,-3.627087997,-3.617855511
1103,0.0234,-3.630784143,-3.622025539
1104,0.0237,-3.625251654,-3.617838757
1105,0.0244,-3.612610174,-3.606148405
1106,0.0255,-3.59345982,-3.587511977
1107,0.027,-3.568636236,-3.563075717
1108,0.029,-3.537602002,-3.533494858
1109,0.0314,-3.503070352,-3.499765325
1110,0.0343,-3.46470588,-3.462848067
1111,0.0376,-3.424812155,-3.424108027
1112,0.0413,-3.384049948,-3.384748566
1113,0.0453,-3.343901798,-3.345974433
1114,0.0494,-3.306273051,-3.309229623
1115,0.0536,-3.27083521,-3.275496175
1116,0.0574,-3.241088108,-3.245887929
1117,0.0609,-3.215382707,-3.221120245
1118,0.0637,-3.195860568,-3.201867979
1119,0.0657,-3.18243463,-3.188176503
1120,0.0669,-3.174573882,-3.180144669
1121,0.0672,-3.172630727,-3.177327377
1122,0.0668,-3.175223538,-3.179333445
1123,0.0658,-3.181774106,-3.185521059
1124,0.0642,-3.192464972,-3.195220019
1125,0.0623,-3.205511953,-3.207639599
1126,0.0601,-3.221125528,-3.222113739
1127,0.0579,-3.237321436,-3.237787787
1128,0.0557,-3.254144805,-3.253987287
1129,0.0536,-3.27083521,-3.269794636
1130,0.0517,-3.286509457,-3.284468577
1131,0.0501,-3.300162274,-3.297391369
1132,0.0489,-3.310691141,-3.307885605
1133,0.048,-3.318758763,-3.315244992
1134,0.0475,-3.32330639,-3.318964289
1135,0.0475,-3.32330639,-3.318786845
1136,0.048,-3.318758763,-3.314376817
1137,0.049,-3.30980392,-3.305188754
1138,0.0505,-3.296708622,-3.291200637
1139,0.0528,-3.277366077,-3.272399632
1140,0.0558,-3.253365801,-3.248796654
1141,0.0596,-3.22475374,-3.220559494
1142,0.0643,-3.191789027,-3.188695284
1143,0.0699,-3.155522824,-3.154206506
1144,0.0762,-3.118045029,-3.118794156
1145,0.083,-3.080921908,-3.08470896
1146,0.0896,-3.04769199,-3.054829013
1147,0.0952,-3.021363052,-3.032092968
1148,0.0986,-3.006123085,-3.019363909
1149,0.099,-3.004364805,-3.018687961
1150,0.0961,-3.017276612,-3.030914249
1151,0.0903,-3.04431225,-3.055258377
1152,0.0827,-3.08249449,-3.0899518
1153,0.0745,-3.127843727,-3.132178981
1154,0.0664,-3.177831921,-3.178789747
1155,0.0591,-3.228412519,-3.227135181
1156,0.0528,-3.277366077,-3.274872744
1157,0.0474,-3.324221658,-3.320207116
1158,0.043,-3.366531544,-3.362066039
1159,0.0394,-3.404503778,-3.399787602
1160,0.0365,-3.437707136,-3.432834268
1161,0.0342,-3.465973894,-3.460975882
1162,0.0324,-3.48945499,-3.484361827
1163,0.0311,-3.507239611,-3.502855997
1164,0.0301,-3.521433504,-3.516584648
1165,0.0295,-3.530177984,-3.525617079
1166,0.0292,-3.534617149,-3.530499691
1167,0.0292,-3.534617149,-3.531078752
1168,0.0294,-3.53165267,-3.527615481
1169,0.0299,-3.524328812,-3.520480198
1170,0.0307,-3.512861625,-3.510117589
1171,0.0317,-3.498940738,-3.496728231
1172,0.0329,-3.482804102,-3.480601969
1173,0.0343,-3.46470588,-3.462301802
1174,0.036,-3.443697499,-3.442319075
1175,0.0379,-3.42136079,-3.420901836
1176,0.0399,-3.399027104,-3.398679914
1177,0.0421,-3.375717904,-3.376263231
1178,0.0443,-3.353596274,-3.354129301
1179,0.0466,-3.331614083,-3.332469888
1180,0.0489,-3.310691141,-3.311980866
1181,0.0512,-3.290730039,-3.292559658
1182,0.0533,-3.273272791,-3.274605917
1183,0.0554,-3.256490235,-3.258003347
1184,0.0573,-3.241845378,-3.242791373
1185,0.0592,-3.227678293,-3.228683306
1186,0.061,-3.214670165,-3.215338755
1187,0.0627,-3.202732459,-3.202274834
1188,0.0646,-3.189767482,-3.189095331
1189,0.0666,-3.176525771,-3.17530009
1190,0.0689,-3.161780778,-3.160322343
1191,0.0715,-3.145693958,-3.143727496
1192,0.0745,-3.127843727,-3.125131552
1193,0.0782,-3.106793247,-3.104076494
1194,0.0825,-3.083546051,-3.080127521
1195,0.0878,-3.056505484,-3.052838742
1196,0.0942,-3.025949097,-3.022025119
1197,0.102,-2.991399828,-2.987264298
1198,0.1115,-2.952725133,-2.948302661
1199,0.1231,-2.909741947,
1200,0.1375,-2.861697302,
