wavelength,transmission,
528,3.70E-03,
529,2.04E-03,
530,4.14E-04,
531,3.42E-05,
532,2.88E-05,
533,1.79E-04,
534,1.18E-03,
535,2.97E-03,
536,3.20E-03,
537,1.38E-03,
538,1.26E-04,
539,1.79E-05,
540,1.33E-05,
541,1.25E-05,
542,2.11E-05,
543,2.17E-04,
544,7.87E-04,
545,1.20E-03,
546,8.71E-04,
547,2.69E-04,
548,3.25E-05,
549,2.88E-05,
550,4.23E-05,
551,7.39E-05,
552,1.05E-04,
553,1.07E-04,
554,8.27E-05,
555,5.82E-05,
556,5.23E-05,
557,6.89E-05,
558,1.54E-04,
559,4.83E-04,
560,1.04E-03,
561,0.0012535,
562,8.40E-04,
563,3.39E-04,
564,1.25E-04,
565,7.37E-05,
566,6.02E-05,
567,5.80E-05,
568,6.61E-05,
569,7.90E-05,
570,8.24E-05,
571,7.17E-05,
572,5.34E-05,
573,3.71E-05,
574,2.93E-05,
575,3.05E-05,
576,4.10E-05,
577,7.36E-05,
578,1.33E-04,
579,1.76E-04,
580,1.54E-04,
581,9.40E-05,
582,5.28E-05,
583,3.76E-05,
584,3.51E-05,
585,3.75E-05,
586,4.42E-05,
587,6.17E-05,
588,9.13E-05,
589,1.19E-04,
590,1.30E-04,
591,1.23E-04,
592,1.04E-04,
593,8.62E-05,
594,8.03E-05,
595,8.41E-05,
596,1.04E-04,
597,1.39E-04,
598,1.55E-04,
599,1.27E-04,
600,7.80E-05,
601,4.20E-05,
602,2.49E-05,
603,1.77E-05,
604,1.52E-05,
605,1.68E-05,
606,2.16E-05,
607,3.42E-05,
608,5.03E-05,
609,6.50E-05,
610,6.36E-05,
611,4.92E-05,
612,3.82E-05,
613,3.26E-05,
614,2.74E-05,
615,2.21E-05,
616,1.42E-05,
617,7.58E-06,
618,6.13E-06,
619,5.62E-06,
620,5.37E-06,
621,5.03E-06,
622,4.09E-06,
623,1.87E-06,
624,2.64E-06,
625,3.24E-06,
626,3.32E-06,
627,3.75E-06,
628,5.96E-06,
629,4.00E-06,
630,4.94E-06,
631,5.20E-06,
632,1.36E-06,
633,4.17E-06,
634,5.28E-06,
635,3.83E-06,
636,4.26E-06,
637,4.94E-06,
638,3.06E-06,
639,2.30E-06,
640,2.89E-06,
641,4.77E-06,
642,4.08E-06,
643,4.00E-06,
644,2.81E-06,
645,1.11E-06,
646,2.81E-06,
647,4.08E-06,
648,4.17E-06,
649,5.02E-06,
650,6.63E-06,
651,6.12E-06,
652,7.40E-06,
653,1.03E-05,
654,1.32E-05,
655,1.50E-05,
656,2.02E-05,
657,2.10E-05,
658,2.00E-05,
659,2.03E-05,
660,1.95E-05,
661,1.54E-05,
662,1.50E-05,
663,1.64E-05,
664,1.56E-05,
665,1.70E-05,
666,1.55E-05,
667,1.23E-05,
668,1.13E-05,
